==================================================
Task Execution Time : 2026-05-22 20:09:22
Task Identifier     : AUS_G_32_current_0
T9 ges_109710_54424_18.jpg: 2026-01-04 Ok
T10 ges_109710_54425_18.jpg: 2026-01-04 Ok
T11 ges_109710_54426_18.jpg: 2026-01-04 Ok
T12 ges_109710_54427_18.jpg: 2026-01-04 Ok
T13 ges_109710_54428_18.jpg: 2026-01-04 Ok
T14 ges_109710_54429_18.jpg: 2026-01-04 Ok
T15 ges_109710_54430_18.jpg: 2026-01-04 Ok
T16 ges_109710_54431_18.jpg: 2026-01-04 Ok
T17 ges_109710_54432_18.jpg: 2026-01-04 Ok
T18 ges_109710_54433_18.jpg: 2026-01-04 Ok
T20 ges_109710_54435_18.jpg: 2026-01-04 Ok
T19 ges_109710_54434_18.jpg: 2026-01-04 Ok
T21 ges_109710_54436_18.jpg: 2026-01-04 Ok
T22 ges_109710_54437_18.jpg: 2026-01-04 Ok
T23 ges_109710_54438_18.jpg: 2026-01-04 Ok
T24 ges_109710_54439_18.jpg: 2026-01-04 Ok
T50 ges_109712_54415_18.jpg: 2026-01-04 Ok
T51 ges_109712_54416_18.jpg: 2026-01-04 Ok
T52 ges_109712_54417_18.jpg: 2026-01-04 Ok
T53 ges_109712_54418_18.jpg: 2026-01-04 Ok
T54 ges_109712_54419_18.jpg: 2026-01-04 Ok
T55 ges_109712_54420_18.jpg: 2026-01-04 Ok
T56 ges_109712_54421_18.jpg: 2026-01-04 Ok
T57 ges_109712_54422_18.jpg: 2026-01-04 Ok
T59 ges_109712_54424_18.jpg: 2026-01-04 Ok
T58 ges_109712_54423_18.jpg: 2026-01-04 Ok
T60 ges_109712_54425_18.jpg: 2026-01-04 Ok
T61 ges_109712_54426_18.jpg: 2026-01-04 Ok
T62 ges_109712_54427_18.jpg: 2026-01-04 Ok
T64 ges_109712_54429_18.jpg: 2026-01-04 Ok
T63 ges_109712_54428_18.jpg: 2026-01-04 Ok
T65 ges_109712_54430_18.jpg: 2026-01-04 Ok
T66 ges_109712_54431_18.jpg: 2026-01-04 Ok
T67 ges_109712_54432_18.jpg: 2026-01-04 Ok
T68 ges_109712_54433_18.jpg: 2026-01-04 Ok
T69 ges_109712_54434_18.jpg: 2026-01-04 Ok
T70 ges_109712_54435_18.jpg: 2026-01-04 Ok
T72 ges_109712_54437_18.jpg: 2026-01-04 Ok
T71 ges_109712_54436_18.jpg: 2026-01-04 Ok
T73 ges_109712_54438_18.jpg: 2026-01-04 Ok
T74 ges_109712_54439_18.jpg: 2026-01-04 Ok
T150 ges_109716_54415_18.jpg: 2026-01-04 Ok
T151 ges_109716_54416_18.jpg: 2026-01-04 Ok
T152 ges_109716_54417_18.jpg: 2026-01-04 Ok
T153 ges_109716_54418_18.jpg: 2026-01-04 Ok
T154 ges_109716_54419_18.jpg: 2026-01-04 Ok
T155 ges_109716_54420_18.jpg: 2026-01-04 Ok
T156 ges_109716_54421_18.jpg: 2026-01-04 Ok
T157 ges_109716_54422_18.jpg: 2026-01-04 Ok
T158 ges_109716_54423_18.jpg: 2026-01-04 Ok
T159 ges_109716_54424_18.jpg: 2026-01-04 Ok
T160 ges_109716_54425_18.jpg: 2026-01-04 Ok
T162 ges_109716_54427_18.jpg: 2026-01-04 Ok
T161 ges_109716_54426_18.jpg: 2026-01-04 Ok
T163 ges_109716_54428_18.jpg: 2026-01-04 Ok
T164 ges_109716_54429_18.jpg: 2026-01-04 Ok
T166 ges_109716_54431_18.jpg: 2026-01-04 Ok
T165 ges_109716_54430_18.jpg: 2026-01-04 Ok
T167 ges_109716_54432_18.jpg: 2026-01-04 Ok
T168 ges_109716_54433_18.jpg: 2026-01-04 Ok
T169 ges_109716_54434_18.jpg: 2026-01-04 Ok
T170 ges_109716_54435_18.jpg: 2026-01-04 Ok
T171 ges_109716_54436_18.jpg: 2026-01-04 Ok
T172 ges_109716_54437_18.jpg: 2026-01-04 Ok
T173 ges_109716_54438_18.jpg: 2026-01-04 Ok
T174 ges_109716_54439_18.jpg: 2026-01-04 Ok
T250 ges_109720_54415_18.jpg: 2026-01-04 Ok
T252 ges_109720_54417_18.jpg: 2026-01-04 Ok
T251 ges_109720_54416_18.jpg: 2026-01-04 Ok
T253 ges_109720_54418_18.jpg: 2026-01-04 Ok
T254 ges_109720_54419_18.jpg: 2026-01-04 Ok
T256 ges_109720_54421_18.jpg: 2026-01-04 Ok
T255 ges_109720_54420_18.jpg: 2026-01-04 Ok
T257 ges_109720_54422_18.jpg: 2026-01-04 Ok
T259 ges_109720_54424_18.jpg: 2026-01-04 Ok
T258 ges_109720_54423_18.jpg: 2026-01-04 Ok
T260 ges_109720_54425_18.jpg: 2026-01-04 Ok
T261 ges_109720_54426_18.jpg: 2026-01-04 Ok
T262 ges_109720_54427_18.jpg: 2026-01-04 Ok
T263 ges_109720_54428_18.jpg: 2026-01-04 Ok
T264 ges_109720_54429_18.jpg: 2026-01-04 Ok
T265 ges_109720_54430_18.jpg: 2026-01-04 Ok
T267 ges_109720_54432_18.jpg: 2026-01-04 Ok
T266 ges_109720_54431_18.jpg: 2026-01-04 Ok
T268 ges_109720_54433_18.jpg: 2026-01-04 Ok
T269 ges_109720_54434_18.jpg: 2026-01-04 Ok
T270 ges_109720_54435_18.jpg: 2026-01-04 Ok
T272 ges_109720_54437_18.jpg: 2026-01-04 Ok
T271 ges_109720_54436_18.jpg: 2026-01-04 Ok
T273 ges_109720_54438_18.jpg: 2026-01-04 Ok
T274 ges_109720_54439_18.jpg: 2026-01-04 Ok
T350 ges_109724_54415_18.jpg: 2026-01-04 Ok
T351 ges_109724_54416_18.jpg: 2026-01-04 Ok
T352 ges_109724_54417_18.jpg: 2026-01-04 Ok
T353 ges_109724_54418_18.jpg: 2026-01-04 Ok
T354 ges_109724_54419_18.jpg: 2026-01-04 Ok
T356 ges_109724_54421_18.jpg: 2026-01-04 Ok
T355 ges_109724_54420_18.jpg: 2026-01-04 Ok
T357 ges_109724_54422_18.jpg: 2026-01-04 Ok
T358 ges_109724_54423_18.jpg: 2026-01-04 Ok
T359 ges_109724_54424_18.jpg: 2026-01-04 Ok
T360 ges_109724_54425_18.jpg: 2026-01-04 Ok
T361 ges_109724_54426_18.jpg: 2026-01-04 Ok
T362 ges_109724_54427_18.jpg: 2026-01-04 Ok
T364 ges_109724_54429_18.jpg: 2026-01-04 Ok
T363 ges_109724_54428_18.jpg: 2026-01-04 Ok
T365 ges_109724_54430_18.jpg: 2026-01-04 Ok
T366 ges_109724_54431_18.jpg: 2026-01-04 Ok
T368 ges_109724_54433_18.jpg: 2026-01-04 Ok
T367 ges_109724_54432_18.jpg: 2026-01-04 Ok
T369 ges_109724_54434_18.jpg: 2026-01-04 Ok
T370 ges_109724_54435_18.jpg: 2026-01-04 Ok
T371 ges_109724_54436_18.jpg: 2026-01-04 Ok
T372 ges_109724_54437_18.jpg: 2026-01-04 Ok
T373 ges_109724_54438_18.jpg: 2026-01-04 Ok
T374 ges_109724_54439_18.jpg: 2026-01-04 Ok
T450 ges_109728_54415_18.jpg: 2026-01-04 Ok
T451 ges_109728_54416_18.jpg: 2026-01-04 Ok
T452 ges_109728_54417_18.jpg: 2026-01-04 Ok
T454 ges_109728_54419_18.jpg: 2026-01-04 Ok
T453 ges_109728_54418_18.jpg: 2026-01-04 Ok
T455 ges_109728_54420_18.jpg: 2026-01-04 Ok
T457 ges_109728_54422_18.jpg: 2026-01-04 Ok
T456 ges_109728_54421_18.jpg: 2026-01-04 Ok
T458 ges_109728_54423_18.jpg: 2026-01-04 Ok
T459 ges_109728_54424_18.jpg: 2026-01-04 Ok
T460 ges_109728_54425_18.jpg: 2026-01-04 Ok
T461 ges_109728_54426_18.jpg: 2026-01-04 Ok
T462 ges_109728_54427_18.jpg: 2026-01-04 Ok
T464 ges_109728_54429_18.jpg: 2026-01-04 Ok
T463 ges_109728_54428_18.jpg: 2026-01-04 Ok
T465 ges_109728_54430_18.jpg: 2026-01-04 Ok
T466 ges_109728_54431_18.jpg: 2026-01-04 Ok
T467 ges_109728_54432_18.jpg: 2026-01-04 Ok
T468 ges_109728_54433_18.jpg: 2026-01-04 Ok
T469 ges_109728_54434_18.jpg: 2026-01-04 Ok
T470 ges_109728_54435_18.jpg: 2026-01-04 Ok
T471 ges_109728_54436_18.jpg: 2026-01-04 Ok
T472 ges_109728_54437_18.jpg: 2026-01-04 Ok
T473 ges_109728_54438_18.jpg: 2026-01-04 Ok
T474 ges_109728_54439_18.jpg: 2026-01-04 Ok
T550 ges_109732_54415_18.jpg: 2026-01-04 Ok
T551 ges_109732_54416_18.jpg: 2026-01-04 Ok
T552 ges_109732_54417_18.jpg: 2026-01-04 Ok
T553 ges_109732_54418_18.jpg: 2026-01-04 Ok
T554 ges_109732_54419_18.jpg: 2026-01-04 Ok
T555 ges_109732_54420_18.jpg: 2026-01-04 Ok
T556 ges_109732_54421_18.jpg: 2026-01-04 Ok
T557 ges_109732_54422_18.jpg: 2026-01-04 Ok
T558 ges_109732_54423_18.jpg: 2026-01-04 Ok
T559 ges_109732_54424_18.jpg: 2026-01-04 Ok
T560 ges_109732_54425_18.jpg: 2026-01-04 Ok
T561 ges_109732_54426_18.jpg: 2026-01-04 Ok
T562 ges_109732_54427_18.jpg: 2026-01-04 Ok
T563 ges_109732_54428_18.jpg: 2026-01-04 Ok
T564 ges_109732_54429_18.jpg: 2026-01-04 Ok
T565 ges_109732_54430_18.jpg: 2026-01-04 Ok
T566 ges_109732_54431_18.jpg: 2026-01-04 Ok
T568 ges_109732_54433_18.jpg: 2026-01-04 Ok
T567 ges_109732_54432_18.jpg: 2026-01-04 Ok
T570 ges_109732_54435_18.jpg: 2026-01-04 Ok
T569 ges_109732_54434_18.jpg: 2026-01-04 Ok
T571 ges_109732_54436_18.jpg: 2026-01-04 Ok
T572 ges_109732_54437_18.jpg: 2026-01-04 Ok
T573 ges_109732_54438_18.jpg: 2026-01-04 Ok
T574 ges_109732_54439_18.jpg: 2026-01-04 Ok


